Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ALDH5A1,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase )",7915,"SSDH, SSADH",6,6p22.3,P51649,610045,The encoded protein is a mitochondrial NAD(+)-dependent succinic semialdehyde dehydrogenase.,Syndromic,"This gene has been associated with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism.",11,0,,0,,12743223,8689400,"15341910,1650448","25363760,25363768,27056292,28097321,30564305,32621952,9683595"
ALG6,"ALG6, alpha-1,3-glucosyltransferase",29929,CDG1C,1,1p31.3,Q9Y672,604566,"This gene encodes a member of the ALG6/ALG8 glucosyltransferase family that catalyzes the addition of the first glucose residue to the growing lipid-linked oligosaccharide precursor of N-linked glycosylation. Mutations in this gene are associated with congenital disorder of glycosylation, type Ic (CDG1C; OMIM 603147), a multisystem disorder resulting in a wide variety of clinical features, including developmental delay, hypotonia, epilepsy, ataxia, and failure to thrive.",Syndromic,"Evaluation of the clinical data from 41 patients with congenital disorder of glycosylation, type Ic, mediated by ALG6 mutations (ALG6-CDG) found that behavioral problems or mood disorders occurred in 14 patients, with most of these 14 patients showing autistic features. Furthermore, five patients with ALG6-CDG were diagnosed with autism (Morava et al., 2016).",1,0,,0,,27287710,,,
ALOX5AP,arachidonate 5-lipoxygenase-activating protein,241,FLAP,3,13q12.3,P20292,603700,The encoded protein mediates leukotriene synthesis.,Functional,"Differential expression of the ALOX5AP gene has been shown to occur in some autistic individuals (Hu et al., 2006).",4,0,,0,,16709250,"2300173,8522947",16698924,
AMBRA1,autophagy and beclin 1 regulator 1,55626,"DCAF3, WDR94",11,11p11.2,Q9C0C7,611359,"The protein encoded by the AMBRA1 gene regulates autophagy and development of the nervous system and is involved in autophagy in controlling protein turnover during neuronal development, and in regulating normal cell survival and proliferation.",Functional,"Comprehensive behavioral characterization of female Ambra1 (+/-) mice in Dere et al., 2014 revealed an autism-like phenotype, including impaired communication and social interactions, a tendency of enhanced stereotypies and repetiive behavior, and impaired cognitive flexibility; these features were absent in male Ambra1 (+/-) mice. Female Ambra (+/-) mice were also shown to display impaired pheromone preference and altered pentylentetrazol-induced seizure propensity in Mitjans et al., 2017. Futhermore, Mitjans et al., 2017 demonstrated, in two independent human cohorts, that the AMBRA1 intronic SNP rs3802890-AA was associated with autistic features in women, who also displayed lower AMBRA1 mRNA expression in peripheral blood mononuclear cells (PBMCs) compared to female GG carriers.",4,1,31687209,0,,24904333,,28994820,29488136
AMPD1,Adenosine monophosphate deaminase 1,270,"RP5-1000E10.1, MAD, MADA, MMDD",1,1p13.2,P23109,102770,Adenosine monophosphate deaminase 1 catalyzes the deamination of AMP to IMP in skeletal muscle and plays an important role in the purine nucleotide cycle. Deficiency of the muscle-specific enzyme is apparently a common cause of exercise-induced myopathy and probably the most common cause of metabolic myopathy in humans.,Genetic association,"Variants in and adjacent to the AMPD1 gene were found to associate with ASD in a genome-wide assocation study using two Chinese cohorts for gene discovery and three European datasets for replication analysis (Xia et al., 2013). Case-specific functional variants in the AMPD1 gene have also been identified in ASD cases of Han Chinese descent (Zhang et al., 2014).",3,0,,0,,24189344,,25155876,25363760
AMT,Aminomethyltransferase,275,"GCE, GCST, GCVT, NKH",3,3p21.31,P48728,238310,This gene encodes one of four critical components of the glycine cleavage system. Mutations in this gene have been associated with glycine encephalopathy.,Rare single gene variant,"Homozygous missense variants in the AMT gene were identified that segregated with ASD in two separate pedigrees (one multiplex, one simplex) consisting of affected children born to consanguineous parents (Yu et al., 2013).",1,0,,0,,23352163,,,
ANK2,"Ankyrin 2, neuronal",287,"ANK-2, LQT4, brank-2",4,4q25-q26,Q01484,106410,"This gene encodes a member of the ankyrin family of proteins that link the integral membrane proteins to the underlying spectrin-actin cytoskeleton. This gene is associated with Long QT syndrome 4 (LQT4) [MIM:600919], a heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias.",Rare Single Gene variant,"A total of three de novo loss-of-function (LoF) variants in the ANK2 gene have been identified in ASD probands from the Simons Simplex Collection (PMIDs 22542183, 24267886, 25363768), while a fourth de novo LoF in this gene was identified in an ASD proband from the Autism Sequencing Consortium in De Rubeis et al., 2014 (PMID 25363760). Analysis of rare coding variation in 3,871 ASD cases and 9,937 ancestry-matched or paternal controls from the Autism Sequencing Consortium (ASC) in De Rubeis et al., 2014 identified ANK2 as a gene meeting high statistical significance with a FDR  0.01, meaning that this gene had a  99% chance of being a true autism gene (PMID 25363760). This gene was identified in Iossifov et al. 2015 as a strong candidate to be an ASD risk gene based on a combination of de novo mutational evidence and the absence or very low frequency of mutations in controls (PMID 26401017).",17,0,,0,,22542183,,"24267886,25363760,26401017","25363768,25533962,25621899,25961944,26402605,27824329,28263302,28554332,28831199,30564305,31452935,31981491,32094338"
ANK3,ankyrin 3,288,"RP11-369L1.1, ANKYRIN-G",10,10q21.2,Q12955,600465,"Ankyrins are a family of proteins that are believed to link the integral membrane proteins to the underlying spectrin-actin cytoskeleton and play key roles in activities such as cell motility, activation, proliferation, contact, and the maintenance of specialized membrane domains. Multiple isoforms of ankyrin with different affinities for various target proteins are expressed in a tissue-specific, developmentally regulated manner. Most ankyrins are typically composed of three structural domains: an amino-terminal domain containing multiple ankyrin repeats; a central region with a highly conserved spectrin binding domain; and a carboxy-terminal regulatory domain which is the least conserved and subject to variation. Ankyrin 3 is an immunologically distinct gene product from ankyrins 1 and 2, and was originally found at the axonal initial segment and nodes of Ranvier of neurons in the central and peripheral nervous systems.",Genetic Association,"Three different missense mutations in the ANK3 gene, including a recurrent de novo mutation, were identified in four unrelated ASD patients in an exome sequencing report using cases from AGRE (Bi et al., 2012).",26,8,"17486107,18711365,19088739,20185149,21893642,21926974,23934111,28472652",0,,22865819,,"23390136,23730306,24821222,25374361,27956739,30046097","22495306,25363768,25533962,26055424,26539891,26892727,27824329,28344757,28687526,30564305,31452935"
ANKRD11,ankyrin repeat domain 11,29123,T13; LZ16; ANCO-1,16,16q24.3,Q6UB99,611192,"This locus encodes an ankryin repeat domain-containing protein. The encoded protein inhibits ligand-dependent activation of transcription. Mutations in this gene have been associated with KBG syndrome, which is characterized by macrodontia, distinctive craniofacial features, short stature, skeletal anomalies, global developmental delay, seizures and intellectual disability.",Rare Single Gene variant,Studies have identified rare mutations in the ANKRD11 gene with autism.,46,0,,0,,18252227,15184363,"17286281,18377363,18840648,25424714,25556659,26401017,29995837","19920853,21654729,21782149,24690944,25125236,25167861,25284784,25363768,25473036,25533962,25574603,25652421,27435318,27479843,27605097,27620904,27667684,27667800,27824329,27848944,27900361,28250421,28263302,28333917,28554332,28771251,29100083,29158550,29286531,29346770,30088855,30945278,31209962,31406558,31981491,32094338,32760686"
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,56899,"AIDA, AIDA-1, ANKS2, EB-1, EB1, cajalin-2",12,12q23.1,Q7Z6G8,607815,"This gene encodes a multi-domain protein that is predominantly expressed in brain and testis. This protein interacts with amyloid beta protein precursor (AbetaPP) and may have a role in normal brain development, and in the pathogenesis of Alzheimer's disease.",Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module. Sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism; this finding was further validated by exome sequencing of an independent cohort of 505 ASD cases and 491 controls (Li et al., 2014).",4,0,,0,,25549968,,31388001,"31696658,32530565"
ANXA1,Annexin A1,301,"RP11-71A24.1, ANX1, LPC1,ANXA1",9,9q21.13,P04083,151690,"This gene encodes a calcium/phospholipid-binding protein which promotes membrane fusion and is involved in exocytosis, as well as regulates phospholipase A2 activity.",Rare single gene variant,"A recurrent duplication overlapping the last four exons and 3'UTR region of the ANXA1 gene was found to have an overall prevalence of 11/3,643 (0.30%) in unrelated ASD patients but was not identified in 5,374 controls (P=4.64 x 10-5) (Correia et al., 2014).",2,0,,0,,24720851,,,25363760
AP1S2,adaptor related protein complex 1 sigma 2 subunit,8905,"DC22, MGC:1902, MRX59, MRXS21, MRXSF, SIGMA1B",X,Xp22.2,P56377,300629,"Adaptor protein complex 1 is found at the cytoplasmic face of coated vesicles located at the Golgi complex, where it mediates both the recruitment of clathrin to the membrane and the recognition of sorting signals within the cytosolic tails of transmembrane receptors. This complex is a heterotetramer composed of two large, one medium, and one small adaptin subunit. The protein encoded by this gene serves as the small subunit of this complex and is a member of the adaptin protein family.",Syndromic,"A maternally-inherited nonsense variant in the AP1S2 gene (c.154C>T; p.Arg52Ter) was identified in three affected males from a XLMR pedigree: two siblings with profound mental retardation (MR) and DSM-IV diagnoses of ASD, and a maternal uncle with profound MR (Borck et al., 2008).",5,0,,0,,18428203,17186471,23756445,"17617514,25363768"
