"gene"	"pLI"	"intolerant"	"interaction_type"	"snp"	"log2_aFC"
"MLLT3"	0.99964	"Intolerant"	"non-eQTL"	NA	NA
"EIF3A"	1	"Intolerant"	"non-eQTL"	NA	NA
"YTHDC2"	1	"Intolerant"	"non-eQTL"	NA	NA
"KSR2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZMYND8"	1	"Intolerant"	"non-eQTL"	NA	NA
"CCNA2"	0.99962	"Intolerant"	"non-eQTL"	NA	NA
"PTPN6"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"SCML2"	0.99961	"Intolerant"	"non-eQTL"	NA	NA
"SNRK"	0.99961	"Intolerant"	"non-eQTL"	NA	NA
"MINK1"	1	"Intolerant"	"non-eQTL"	NA	NA
"IRF6"	0.99961	"Intolerant"	"non-eQTL"	NA	NA
"ZRSR2"	0.99963	"Intolerant"	"non-eQTL"	NA	NA
"RFX7"	1	"Intolerant"	"non-eQTL"	NA	NA
"CSTF2"	0.99959	"Intolerant"	"non-eQTL"	NA	NA
"NR4A2"	0.99959	"Intolerant"	"non-eQTL"	NA	NA
"TULP4"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAP1B"	1	"Intolerant"	"non-eQTL"	NA	NA
"USP42"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF592"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"NPAS2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZSWIM8"	1	"Intolerant"	"non-eQTL"	NA	NA
"IQSEC2"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"U2AF2"	0.9996	"Intolerant"	"non-eQTL"	NA	NA
"ITPR1"	1	"Intolerant"	"non-eQTL"	NA	NA
"COL2A1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NPLOC4"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"MAPKAPK2"	0.99957	"Intolerant"	"non-eQTL"	NA	NA
"DDX42"	1	"Intolerant"	"non-eQTL"	NA	NA
"CACNA1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"SUZ12"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"PHF12"	1	"Intolerant"	"non-eQTL"	NA	NA
"DACH1"	0.99954	"Intolerant"	"non-eQTL"	NA	NA
"PORCN"	0.99953	"Intolerant"	"non-eQTL"	NA	NA
"CTR9"	1	"Intolerant"	"non-eQTL"	NA	NA
"RBM5"	1	"Intolerant"	"non-eQTL"	NA	NA
"NRBP1"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"TBX5"	0.99954	"Intolerant"	"non-eQTL"	NA	NA
"FRMD4A"	1	"Intolerant"	"non-eQTL"	NA	NA
"PTPN11"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"DLGAP3"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"HIRA"	1	"Intolerant"	"non-eQTL"	NA	NA
"SETD1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"NAA35"	1	"Intolerant"	"non-eQTL"	NA	NA
"ELMSAN1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CACTIN"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"ARHGEF6"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"FAM120C"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"RBM6"	1	"Intolerant"	"non-eQTL"	NA	NA
"KIF1A"	1	"Intolerant"	"non-eQTL"	NA	NA
"MECOM"	1	"Intolerant"	"non-eQTL"	NA	NA
"MBD5"	1	"Intolerant"	"non-eQTL"	NA	NA
"MEIS1"	0.99951	"Intolerant"	"non-eQTL"	NA	NA
"INTS6"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZFHX3"	1	"Intolerant"	"non-eQTL"	NA	NA
"JPH4"	0.99948	"Intolerant"	"non-eQTL"	NA	NA
"SMARCA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"HEATR1"	1	"Intolerant"	"non-eQTL"	NA	NA
"BAI3"	1	"Intolerant"	"non-eQTL"	NA	NA
"SLC12A5"	1	"Intolerant"	"non-eQTL"	NA	NA
"TAF3"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"SHOC2"	0.99946	"Intolerant"	"non-eQTL"	NA	NA
"PSMC1"	0.99945	"Intolerant"	"non-eQTL"	NA	NA
"RBM22"	0.99947	"Intolerant"	"non-eQTL"	NA	NA
"NFKB1"	1	"Intolerant"	"non-eQTL"	NA	NA
"AFF4"	1	"Intolerant"	"non-eQTL"	NA	NA
"RB1CC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"SAFB"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRAPPC8"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARID4A"	1	"Intolerant"	"non-eQTL"	NA	NA
"TRIO"	1	"Intolerant"	"non-eQTL"	NA	NA
"YTHDF2"	0.99943	"Intolerant"	"non-eQTL"	NA	NA
"PPFIA2"	1	"Intolerant"	"non-eQTL"	NA	NA
"KDM6B"	1	"Intolerant"	"non-eQTL"	NA	NA
"SPTB"	1	"Intolerant"	"non-eQTL"	NA	NA
"SOS1"	1	"Intolerant"	"non-eQTL"	NA	NA
"BAI1"	1	"Intolerant"	"non-eQTL"	NA	NA
"AMBRA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBE2O"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF292"	1	"Intolerant"	"non-eQTL"	NA	NA
"BCOR"	1	"Intolerant"	"non-eQTL"	NA	NA
"HDAC5"	1	"Intolerant"	"non-eQTL"	NA	NA
"PODXL2"	0.99936	"Intolerant"	"non-eQTL"	NA	NA
"AFTPH"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"RANBP3"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"SPAG9"	1	"Intolerant"	"non-eQTL"	NA	NA
"FNBP4"	1	"Intolerant"	"non-eQTL"	NA	NA
"AGPAT3"	0.99933	"Intolerant"	"non-eQTL"	NA	NA
"RANBP2"	1	"Intolerant"	"non-eQTL"	NA	NA
"TKTL1"	0.99933	"Intolerant"	"non-eQTL"	NA	NA
"ZBTB44"	0.99929	"Intolerant"	"non-eQTL"	NA	NA
"WHSC1L1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CNOT4"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"JAG2"	1	"Intolerant"	"non-eQTL"	NA	NA
"TFCP2L1"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"MAOA"	0.99928	"Intolerant"	"non-eQTL"	NA	NA
"SAMD4B"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"CSNK1E"	0.99926	"Intolerant"	"non-eQTL"	NA	NA
"DNMT1"	1	"Intolerant"	"non-eQTL"	NA	NA
"PHEX"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"ATXN2L"	1	"Intolerant"	"non-eQTL"	NA	NA
"XPO4"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARFGEF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"COPS5"	0.99925	"Intolerant"	"non-eQTL"	NA	NA
"SPOP"	0.99922	"Intolerant"	"non-eQTL"	NA	NA
"CSDE1"	1	"Intolerant"	"non-eQTL"	NA	NA
"API5"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"CUL1"	1	"Intolerant"	"non-eQTL"	NA	NA
"DDX46"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZFHX4"	1	"Intolerant"	"non-eQTL"	NA	NA
"GNB1"	0.9992	"Intolerant"	"non-eQTL"	NA	NA
"HOMER1"	0.9992	"Intolerant"	"non-eQTL"	NA	NA
"ZFPM2"	1	"Intolerant"	"non-eQTL"	NA	NA
"AEBP2"	0.99921	"Intolerant"	"non-eQTL"	NA	NA
"NUP85"	1	"Intolerant"	"non-eQTL"	NA	NA
"CBLL1"	0.99918	"Intolerant"	"non-eQTL"	NA	NA
"RNF38"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"BAZ2A"	1	"Intolerant"	"non-eQTL"	NA	NA
"JAG1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ASXL2"	1	"Intolerant"	"non-eQTL"	NA	NA
"SP3"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"SRRM1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAML1"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"CCNC"	0.99914	"Intolerant"	"non-eQTL"	NA	NA
"KIF23"	1	"Intolerant"	"non-eQTL"	NA	NA
"EZH2"	1	"Intolerant"	"non-eQTL"	NA	NA
"RFX4"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"XRCC5"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"USP24"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHD3"	1	"Intolerant"	"non-eQTL"	NA	NA
"HNRNPA1"	0.99911	"Intolerant"	"non-eQTL"	NA	NA
"PPP1CB"	0.99912	"Intolerant"	"non-eQTL"	NA	NA
"FLT4"	1	"Intolerant"	"non-eQTL"	NA	NA
"UNC79"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF217"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"EFHC2"	0.9991	"Intolerant"	"non-eQTL"	NA	NA
"WBP11"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"ITPKB"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"CTCF"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"ATP2B2"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAOB"	0.99903	"Intolerant"	"non-eQTL"	NA	NA
"KLHDC3"	0.99908	"Intolerant"	"non-eQTL"	NA	NA
"PRMT1"	0.99907	"Intolerant"	"non-eQTL"	NA	NA
"TGFB2"	0.99905	"Intolerant"	"non-eQTL"	NA	NA
"DIP2C"	1	"Intolerant"	"non-eQTL"	NA	NA
"NFIX"	0.99903	"Intolerant"	"non-eQTL"	NA	NA
"FBXL17"	0.99901	"Intolerant"	"non-eQTL"	NA	NA
"WAS"	0.99901	"Intolerant"	"non-eQTL"	NA	NA
"GCM1"	0.999	"Intolerant"	"non-eQTL"	NA	NA
"YBX2"	0.99896	"Intolerant"	"non-eQTL"	NA	NA
"TLE4"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"SLC6A1"	0.99993	"Intolerant"	"non-eQTL"	NA	NA
"EBF3"	0.99993	"Intolerant"	"non-eQTL"	NA	NA
"MAPK8IP3"	1	"Intolerant"	"non-eQTL"	NA	NA
"AHSA1"	0.99896	"Intolerant"	"non-eQTL"	NA	NA
"PAN3"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PKN2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ABCD1"	0.99896	"Intolerant"	"non-eQTL"	NA	NA
"SETD1B"	1	"Intolerant"	"non-eQTL"	NA	NA
"CLCN4"	0.99893	"Intolerant"	"non-eQTL"	NA	NA
"ARHGEF9"	0.9989	"Intolerant"	"non-eQTL"	NA	NA
"B4GALT5"	0.99889	"Intolerant"	"non-eQTL"	NA	NA
"MSL1"	0.9989	"Intolerant"	"non-eQTL"	NA	NA
"SERPINC1"	0.99892	"Intolerant"	"non-eQTL"	NA	NA
"KALRN"	1	"Intolerant"	"non-eQTL"	NA	NA
"CASZ1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MARCH6"	1	"Intolerant"	"non-eQTL"	NA	NA
"SFPQ"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"BCORL1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"CMIP"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"PPRC1"	1	"Intolerant"	"non-eQTL"	NA	NA
"DDX26B"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"C11orf30"	1	"Intolerant"	"non-eQTL"	NA	NA
"EFEMP1"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"MAPKAP1"	0.99991	"Intolerant"	"non-eQTL"	NA	NA
"ATP1B1"	0.99881	"Intolerant"	"non-eQTL"	NA	NA
"ELFN1"	0.99882	"Intolerant"	"non-eQTL"	NA	NA
"SMCHD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"FBXW2"	0.99877	"Intolerant"	"non-eQTL"	NA	NA
"GGA1"	0.99992	"Intolerant"	"non-eQTL"	NA	NA
"CAMSAP3"	1	"Intolerant"	"non-eQTL"	NA	NA
"AHR"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"DMD"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPP1R10"	1	"Intolerant"	"non-eQTL"	NA	NA
"HDLBP"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF609"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARHGAP42"	1	"Intolerant"	"non-eQTL"	NA	NA
"OCRL"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"RICTOR"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF541"	1	"Intolerant"	"non-eQTL"	NA	NA
"FASN"	1	"Intolerant"	"non-eQTL"	NA	NA
"ATAD2B"	1	"Intolerant"	"non-eQTL"	NA	NA
"PCIF1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"DENND5B"	1	"Intolerant"	"non-eQTL"	NA	NA
"HOOK3"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARHGEF2"	1	"Intolerant"	"non-eQTL"	NA	NA
"XPR1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"INTS10"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"USP3"	0.99989	"Intolerant"	"non-eQTL"	NA	NA
"MARK2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"IKZF1"	0.9986	"Intolerant"	"non-eQTL"	NA	NA
"CDH11"	0.9999	"Intolerant"	"non-eQTL"	NA	NA
"KDM4A"	1	"Intolerant"	"non-eQTL"	NA	NA
"RREB1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CHD4"	1	"Intolerant"	"non-eQTL"	NA	NA
"HIPK2"	1	"Intolerant"	"non-eQTL"	NA	NA
"NR2E1"	0.99864	"Intolerant"	"non-eQTL"	NA	NA
"KPNA4"	0.99989	"Intolerant"	"non-eQTL"	NA	NA
"CHD5"	1	"Intolerant"	"non-eQTL"	NA	NA
"PLXND1"	1	"Intolerant"	"non-eQTL"	NA	NA
"RXRA"	0.99852	"Intolerant"	"non-eQTL"	NA	NA
"LRRC7"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZFC3H1"	1	"Intolerant"	"non-eQTL"	NA	NA
"UBE4B"	1	"Intolerant"	"non-eQTL"	NA	NA
"DOCK3"	1	"Intolerant"	"non-eQTL"	NA	NA
"DMXL2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PELP1"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"TXLNG"	0.99845	"Intolerant"	"non-eQTL"	NA	NA
"UNC13A"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAT2A"	0.99846	"Intolerant"	"non-eQTL"	NA	NA
"HECTD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"KCNQ2"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"TANC2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPP3CA"	0.99988	"Intolerant"	"non-eQTL"	NA	NA
"LARP4B"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"EPC2"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"ROBO2"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAST1"	1	"Intolerant"	"non-eQTL"	NA	NA
"POLR2A"	1	"Intolerant"	"non-eQTL"	NA	NA
"GRIPAP1"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"PSMD11"	0.99987	"Intolerant"	"non-eQTL"	NA	NA
"TNRC6A"	1	"Intolerant"	"non-eQTL"	NA	NA
"ESPL1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CUL5"	1	"Intolerant"	"non-eQTL"	NA	NA
"FBRS"	0.99987	"Intolerant"	"non-eQTL"	NA	NA
"SAP130"	1	"Intolerant"	"non-eQTL"	NA	NA
"ALG13"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"SMAD5"	0.99838	"Intolerant"	"non-eQTL"	NA	NA
"GNB2L1"	0.99836	"Intolerant"	"non-eQTL"	NA	NA
"SLIT2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPM1A"	0.99834	"Intolerant"	"non-eQTL"	NA	NA
"PPP4R2"	0.99835	"Intolerant"	"non-eQTL"	NA	NA
"GSPT1"	0.99986	"Intolerant"	"non-eQTL"	NA	NA
"PIP4K2B"	0.99837	"Intolerant"	"non-eQTL"	NA	NA
"ZFX"	0.99831	"Intolerant"	"non-eQTL"	NA	NA
"KANSL3"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"RORC"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"ZNF800"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"DPF2"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"APC"	1	"Intolerant"	"non-eQTL"	NA	NA
"FKBP8"	0.99825	"Intolerant"	"non-eQTL"	NA	NA
"OPHN1"	0.99985	"Intolerant"	"non-eQTL"	NA	NA
"USP48"	1	"Intolerant"	"non-eQTL"	NA	NA
"KDM6A"	1	"Intolerant"	"non-eQTL"	NA	NA
"CAPZA2"	0.99828	"Intolerant"	"non-eQTL"	NA	NA
"NPM1"	0.99816	"Intolerant"	"non-eQTL"	NA	NA
"PSMD12"	0.99984	"Intolerant"	"non-eQTL"	NA	NA
"ZNF131"	0.99983	"Intolerant"	"non-eQTL"	NA	NA
"GPC3"	0.9982	"Intolerant"	"non-eQTL"	NA	NA
"GRAMD4"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"KIF2A"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"FGD5"	1	"Intolerant"	"non-eQTL"	NA	NA
"CKAP5"	1	"Intolerant"	"non-eQTL"	NA	NA
"UPF1"	1	"Intolerant"	"non-eQTL"	NA	NA
"UTP14A"	0.99983	"Intolerant"	"non-eQTL"	NA	NA
"CHD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZBTB2"	0.9982	"Intolerant"	"non-eQTL"	NA	NA
"CPSF6"	0.99982	"Intolerant"	"non-eQTL"	NA	NA
"FAM120A"	1	"Intolerant"	"non-eQTL"	NA	NA
"WDR43"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"CUX1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF865"	0.99814	"Intolerant"	"non-eQTL"	NA	NA
"MAPK8IP1"	0.99983	"Intolerant"	"non-eQTL"	NA	NA
"CDK19"	0.99982	"Intolerant"	"non-eQTL"	NA	NA
"NFKB2"	1	"Intolerant"	"non-eQTL"	NA	NA
"KDM5A"	1	"Intolerant"	"non-eQTL"	NA	NA
"TEX10"	1	"Intolerant"	"non-eQTL"	NA	NA
"KIAA0947"	1	"Intolerant"	"non-eQTL"	NA	NA
"MDM2"	0.99981	"Intolerant"	"non-eQTL"	NA	NA
"CASKIN1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MYC"	0.99801	"Intolerant"	"non-eQTL"	NA	NA
"CLK2"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"PAX5"	0.99798	"Intolerant"	"non-eQTL"	NA	NA
"ZNF608"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"DSCAML1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CCNJ"	0.99796	"Intolerant"	"non-eQTL"	NA	NA
"CCNK"	0.9998	"Intolerant"	"non-eQTL"	NA	NA
"TLK1"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"LARP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ARIH1"	0.99997	"Intolerant"	"non-eQTL"	NA	NA
"LRRC4"	0.99787	"Intolerant"	"non-eQTL"	NA	NA
"RBFOX3"	0.99785	"Intolerant"	"non-eQTL"	NA	NA
"ZNF629"	0.99978	"Intolerant"	"non-eQTL"	NA	NA
"KDM5C"	1	"Intolerant"	"non-eQTL"	NA	NA
"PHF6"	0.99784	"Intolerant"	"non-eQTL"	NA	NA
"DICER1"	1	"Intolerant"	"non-eQTL"	NA	NA
"GRIN2D"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"RPL5"	0.99776	"Intolerant"	"non-eQTL"	NA	NA
"PHF23"	0.99774	"Intolerant"	"non-eQTL"	NA	NA
"SIPA1L1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MYH10"	1	"Intolerant"	"non-eQTL"	NA	NA
"GABBR2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"CECR2"	1	"Intolerant"	"non-eQTL"	NA	NA
"F9"	0.99776	"Intolerant"	"non-eQTL"	NA	NA
"PAK7"	0.99977	"Intolerant"	"non-eQTL"	NA	NA
"USP11"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"PPP1R9B"	0.99975	"Intolerant"	"non-eQTL"	NA	NA
"SFSWAP"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"HNF1B"	0.99976	"Intolerant"	"non-eQTL"	NA	NA
"NOP2"	0.99996	"Intolerant"	"non-eQTL"	NA	NA
"TMEM63B"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"STAU1"	0.99976	"Intolerant"	"non-eQTL"	NA	NA
"ARPC2"	0.99769	"Intolerant"	"non-eQTL"	NA	NA
"CSK"	0.99977	"Intolerant"	"non-eQTL"	NA	NA
"SOX9"	0.99772	"Intolerant"	"non-eQTL"	NA	NA
"NCOR2"	1	"Intolerant"	"non-eQTL"	NA	NA
"ANK1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF236"	1	"Intolerant"	"non-eQTL"	NA	NA
"ABCA2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPP1R16B"	0.99974	"Intolerant"	"non-eQTL"	NA	NA
"RC3H2"	1	"Intolerant"	"non-eQTL"	NA	NA
"PAX6"	0.99975	"Intolerant"	"non-eQTL"	NA	NA
"CENPI"	0.99974	"Intolerant"	"non-eQTL"	NA	NA
"ZNF638"	1	"Intolerant"	"non-eQTL"	NA	NA
"NACC1"	0.99763	"Intolerant"	"non-eQTL"	NA	NA
"PDGFRA"	1	"Intolerant"	"non-eQTL"	NA	NA
"CADM4"	0.99762	"Intolerant"	"non-eQTL"	NA	NA
"ACVR2A"	0.99972	"Intolerant"	"non-eQTL"	NA	NA
"TRIM9"	0.99973	"Intolerant"	"non-eQTL"	NA	NA
"DYRK2"	0.99751	"Intolerant"	"non-eQTL"	NA	NA
"TRPC5"	0.99973	"Intolerant"	"non-eQTL"	NA	NA
"C7orf60"	0.99746	"Intolerant"	"non-eQTL"	NA	NA
"MKL2"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"GPATCH8"	1	"Intolerant"	"non-eQTL"	NA	NA
"ESCO1"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"GRID2"	1	"Intolerant"	"non-eQTL"	NA	NA
"WEE1"	0.99973	"Intolerant"	"non-eQTL"	NA	NA
"MBTPS2"	0.99752	"Intolerant"	"non-eQTL"	NA	NA
"PRPF4B"	1	"Intolerant"	"non-eQTL"	NA	NA
"ZNF654"	0.99753	"Intolerant"	"non-eQTL"	NA	NA
"CHD9"	1	"Intolerant"	"non-eQTL"	NA	NA
"KIF1B"	1	"Intolerant"	"non-eQTL"	NA	NA
"RNF2"	0.99743	"Intolerant"	"non-eQTL"	NA	NA
"DAGLA"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"MNT"	0.99739	"Intolerant"	"non-eQTL"	NA	NA
"PRKCD"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"KDM4B"	1	"Intolerant"	"non-eQTL"	NA	NA
"CELF1"	0.99971	"Intolerant"	"non-eQTL"	NA	NA
"ANKRD28"	1	"Intolerant"	"non-eQTL"	NA	NA
"MEN1"	0.99971	"Intolerant"	"non-eQTL"	NA	NA
"SYVN1"	0.9997	"Intolerant"	"non-eQTL"	NA	NA
"FZR1"	0.99969	"Intolerant"	"non-eQTL"	NA	NA
"ZFP91"	0.9997	"Intolerant"	"non-eQTL"	NA	NA
"ARMC8"	0.99999	"Intolerant"	"non-eQTL"	NA	NA
"CAMTA1"	1	"Intolerant"	"non-eQTL"	NA	NA
"LIN54"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"TRIM71"	0.99969	"Intolerant"	"non-eQTL"	NA	NA
"NKAP"	0.99735	"Intolerant"	"non-eQTL"	NA	NA
"TFAP4"	0.99731	"Intolerant"	"non-eQTL"	NA	NA
"ACVR1B"	0.99969	"Intolerant"	"non-eQTL"	NA	NA
"PSMD4"	0.99726	"Intolerant"	"non-eQTL"	NA	NA
"FBLN5"	0.9997	"Intolerant"	"non-eQTL"	NA	NA
"EEF2"	0.99995	"Intolerant"	"non-eQTL"	NA	NA
"ISY1-RAB43"	0.9997	"Intolerant"	"non-eQTL"	NA	NA
"CFLAR"	0.99967	"Intolerant"	"non-eQTL"	NA	NA
"OTUD5"	0.99717	"Intolerant"	"non-eQTL"	NA	NA
"HIVEP1"	1	"Intolerant"	"non-eQTL"	NA	NA
"GTF3C1"	1	"Intolerant"	"non-eQTL"	NA	NA
"ENAH"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"FOXO1"	0.99725	"Intolerant"	"non-eQTL"	NA	NA
"TNRC6B"	1	"Intolerant"	"non-eQTL"	NA	NA
"EEF1G"	0.99967	"Intolerant"	"non-eQTL"	NA	NA
"TENM4"	1	"Intolerant"	"non-eQTL"	NA	NA
"KLF4"	0.99714	"Intolerant"	"non-eQTL"	NA	NA
"SEC24C"	1	"Intolerant"	"non-eQTL"	NA	NA
"CTDSPL2"	0.99966	"Intolerant"	"non-eQTL"	NA	NA
"JADE2"	0.99994	"Intolerant"	"non-eQTL"	NA	NA
"PCGF1"	0.99713	"Intolerant"	"non-eQTL"	NA	NA
"TTC28"	1	"Intolerant"	"non-eQTL"	NA	NA
"GATA6"	0.99709	"Intolerant"	"non-eQTL"	NA	NA
"SCN3A"	1	"Intolerant"	"non-eQTL"	NA	NA
"PSME3"	0.99714	"Intolerant"	"non-eQTL"	NA	NA
"TET1"	1	"Intolerant"	"non-eQTL"	NA	NA
"NUP153"	1	"Intolerant"	"non-eQTL"	NA	NA
"CELF2"	0.99965	"Intolerant"	"non-eQTL"	NA	NA
"DDX6"	0.99964	"Intolerant"	"non-eQTL"	NA	NA
"BAG6"	1	"Intolerant"	"Cis"	"rs3131010"	-0.678669705055458
"BAG6"	1	"Intolerant"	"Cis"	"rs3130908"	-0.750995957145925
"EPHA4"	1	"Intolerant"	"non-eQTL"	NA	NA
"MKLN1"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"ZMYM4"	1	"Intolerant"	"non-eQTL"	NA	NA
"PPP2R5D"	0.99993	"Intolerant"	"non-eQTL"	NA	NA
"ANAPC2"	0.99993	"Intolerant"	"non-eQTL"	NA	NA
"FOXP1"	0.99998	"Intolerant"	"non-eQTL"	NA	NA
"TDRD1"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAP4K4"	1	"Intolerant"	"non-eQTL"	NA	NA
"MAPK1"	0.99698	"Intolerant"	"non-eQTL"	NA	NA
"NCDN"	0.99964	"Intolerant"	"non-eQTL"	NA	NA
"BSN"	1	"Intolerant"	"non-eQTL"	NA	NA
"ADRM1"	0.99704	"Intolerant"	"non-eQTL"	NA	NA
"NCOR1"	1	"Intolerant"	"non-eQTL"	NA	NA
"CNOT7"	0.99686	"Intolerant"	"non-eQTL"	NA	NA
"MTM1"	0.99961	"Intolerant"	"non-eQTL"	NA	NA
"BAZ1A"	1	"Intolerant"	"non-eQTL"	NA	NA
